name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at,search_category,search_area,pincode,google_map_link,sheet_category
"Dr.TARUN’S ORTHOPAEDIC AND MULTI-SPECIALITY CLINIC | BEST MULTI-SPECIALITY CLINIC IN TARNAKA / HYDERABAD","H NO:- 12, 13-393, Street Number 1, Krishna Giri Enclave, Tarnaka, Hyderabad, Secunderabad, Telangana 500017","drtarunsorthopaedic.in","089192 96360","176","4.8","Orthopedic clinic","Closed · Opens 9am Thu","Orthopedics Hospital","Addagutta","500017","https://www.google.com/maps/search/?api=1&query=Dr.TARUN%E2%80%99S+ORTHOPAEDIC+AND+MULTI-SPECIALITY+CLINIC+%7C+BEST+MULTI-SPECIALITY+CLINIC+IN+TARNAKA+%2F+HYDERABAD+H+NO%3A-+12%2C+13-393%2C+Street+Number+1%2C+Krishna+Giri+Enclave%2C+Tarnaka%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500017","Orthopedics_Hospital"
"Baba Orthopaedic Hospital","Santosh Reddy Nagar Colony, 14-183, Santhosh Reddy Nagar Colony, New Mirjalguda, Malkajgiri, Hyderabad, Secunderabad, Telangana 500047","","040 2705 2603","26","3.1","Hospital"," · Opens 4pm Thu","Orthopedics Hospital","Addagutta","500047","https://www.google.com/maps/search/?api=1&query=Baba+Orthopaedic+Hospital+Santosh+Reddy+Nagar+Colony%2C+14-183%2C+Santhosh+Reddy+Nagar+Colony%2C+New+Mirjalguda%2C+Malkajgiri%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"Harsha Ortho Clinic Dr Seetharam Popuri","LK Hospital Ln, opposite Bharat bazaar, Maruthi Nagar, Malkajgiri, Hyderabad, Secunderabad, Telangana 500047","","094916 93563","50","5","Medical clinic"," · Opens 6:30pm Thu","Orthopedics Hospital","Addagutta","500047","https://www.google.com/maps/search/?api=1&query=Harsha+Ortho+Clinic+Dr+Seetharam+Popuri+LK+Hospital+Ln%2C+opposite+Bharat+bazaar%2C+Maruthi+Nagar%2C+Malkajgiri%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"Aachi Orthopaedic Clinic and Nursing Home","2-49/a, St No. 3, Kakateeya Nagar, Habsiguda, Hyderabad, Telangana 500007","","040 2717 3377","428","4.9","Orthopedic clinic"," · Opens 8am Thu","Orthopedics Hospital","Addagutta","500007","https://www.google.com/maps/search/?api=1&query=Aachi+Orthopaedic+Clinic+and+Nursing+Home+2-49%2Fa%2C+St+No.+3%2C+Kakateeya+Nagar%2C+Habsiguda%2C+Hyderabad%2C+Telangana+500007","Orthopedics_Hospital"
"My Health Hospitals – Orthopedic Surgeon in Tarnaka, Secunderabad","H.No:, 12, 5-30, Moula Ali Rd, South Lalaguda, Tarnaka, Secunderabad, Telangana 500017","myhealthhospitals.com","091000 01201","2","5","Orthopedic surgeon","","Orthopedics Hospital","Addagutta","500017","https://www.google.com/maps/search/?api=1&query=My+Health+Hospitals+%E2%80%93+Orthopedic+Surgeon+in+Tarnaka%2C+Secunderabad+H.No%3A%2C+12%2C+5-30%2C+Moula+Ali+Rd%2C+South+Lalaguda%2C+Tarnaka%2C+Secunderabad%2C+Telangana+500017","Orthopedics_Hospital"
"Dr. Mithin Aachi-Consult With Best Orthopaedics Doctor Near Me | Carpal Tunnel Syndrome | Cerebral Palsy | 20+ Yrs. of Exp.","Apollo Hospitals, Pollicetty Towers, St Johns Rd, beside KEYES HIGH SCHOOL FOR GIRLS, Regimental Bazaar, Shivaji Nagar, Secunderabad, Telangana 500003","apollohospitals.com","040 6907 1295","523","5","Orthopedic surgeon","Closed · Opens 10am Thu","Orthopedics Hospital","Addagutta","500003","https://www.google.com/maps/search/?api=1&query=Dr.+Mithin+Aachi-Consult+With+Best+Orthopaedics+Doctor+Near+Me+%7C+Carpal+Tunnel+Syndrome+%7C+Cerebral+Palsy+%7C+20%2B+Yrs.+of+Exp.+Apollo+Hospitals%2C+Pollicetty+Towers%2C+St+Johns+Rd%2C+beside+KEYES+HIGH+SCHOOL+FOR+GIRLS%2C+Regimental+Bazaar%2C+Shivaji+Nagar%2C+Secunderabad%2C+Telangana+500003","Orthopedics_Hospital"
"Baba Orthopaedics and physiotherapy Hospital","Ram Kalyan Apartments, Unnamed Road, Santhosh Reddy Nagar Colony, New Mirjalguda, Malkajgiri, Secunderabad, Telangana 500047","","092465 22603","1","5","Hospital"," · Opens 4pm Thu","Orthopedics Hospital","Addagutta","500047","https://www.google.com/maps/search/?api=1&query=Baba+Orthopaedics+and+physiotherapy+Hospital+Ram+Kalyan+Apartments%2C+Unnamed+Road%2C+Santhosh+Reddy+Nagar+Colony%2C+New+Mirjalguda%2C+Malkajgiri%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"Department of Orthopaedics || Apollo Hospitals Secunderabad","1st floor, APOLLO HOSPITAL, Pollicetty Towers, St Johns Rd, beside KEYES HIGH SCHOOL FOR GIRLS, Regimental Bazaar, Shivaji Nagar, Secunderabad, Hyderabad, Telangana 500003","apollohospitals.com","040 6907 1299","8","4.3","Orthopedic surgeon","","Orthopedics Hospital","Addagutta","500003","https://www.google.com/maps/search/?api=1&query=Department+of+Orthopaedics+%7C%7C+Apollo+Hospitals+Secunderabad+1st+floor%2C+APOLLO+HOSPITAL%2C+Pollicetty+Towers%2C+St+Johns+Rd%2C+beside+KEYES+HIGH+SCHOOL+FOR+GIRLS%2C+Regimental+Bazaar%2C+Shivaji+Nagar%2C+Secunderabad%2C+Hyderabad%2C+Telangana+500003","Orthopedics_Hospital"
"Dr. Somasekhara Reddy N","Pollicetty Towers, St Johns Rd, beside KEYES HIGH SCHOOL FOR GIRLS, Regimental Bazaar, Shivaji Nagar, Secunderabad, Hyderabad, Telangana 500003","apollohospitals.com","040 6907 1299","33","4.4","Orthopedic surgeon","Closed · Opens 6am Thu","Orthopedics Hospital","Addagutta","500003","https://www.google.com/maps/search/?api=1&query=Dr.+Somasekhara+Reddy+N+Pollicetty+Towers%2C+St+Johns+Rd%2C+beside+KEYES+HIGH+SCHOOL+FOR+GIRLS%2C+Regimental+Bazaar%2C+Shivaji+Nagar%2C+Secunderabad%2C+Hyderabad%2C+Telangana+500003","Orthopedics_Hospital"
"Dr Raveesh Ajmeera - Consultant Orthopedic Surgeon, Medicover Hospitals Secunderabad","Cabin No:13, Medicover Hospitals, 9, Sarojini Devi Rd, Regimental Bazaar, Shivaji Nagar, Hyderabad, Secunderabad, Telangana 500003","medicoverhospitals.in","","","","Orthopedic surgeon"," · Opens 9am Thu","Orthopedics Hospital","Addagutta","500003","https://www.google.com/maps/search/?api=1&query=Dr+Raveesh+Ajmeera+-+Consultant+Orthopedic+Surgeon%2C+Medicover+Hospitals+Secunderabad+Cabin+No%3A13%2C+Medicover+Hospitals%2C+9%2C+Sarojini+Devi+Rd%2C+Regimental+Bazaar%2C+Shivaji+Nagar%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500003","Orthopedics_Hospital"
